"Plot Title: C3"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10919524, SEN S/N: 10919524)","Intensity, Lux (LGR S/N: 10919524, SEN S/N: 10919524)","Coupler Attached (LGR S/N: 10919524, SEN S/N: 10919524)","Host Connected (LGR S/N: 10919524, SEN S/N: 10919524)","Coupler Detached (LGR S/N: 10919524, SEN S/N: 10919524)","End Of File (LGR S/N: 10919524, SEN S/N: 10919524)"
1,06/04/18 12:00:00 PM,23.484,269.1,,,,
2,06/04/18 01:00:00 PM,23.581,602.8,,,,
3,06/04/18 02:00:00 PM,23.966,549.0,,,,
4,06/04/18 03:00:00 PM,24.158,430.6,,,,
5,06/04/18 04:00:00 PM,24.158,161.5,,,,
6,06/04/18 05:00:00 PM,24.351,635.1,,,,
7,06/04/18 06:00:00 PM,24.545,86.1,,,,
8,06/04/18 07:00:00 PM,24.641,53.8,,,,
9,06/04/18 08:00:00 PM,24.545,10.8,,,,
10,06/04/18 09:00:00 PM,24.545,0.0,,,,
11,06/04/18 10:00:00 PM,24.158,0.0,,,,
12,06/04/18 11:00:00 PM,23.966,0.0,,,,
13,06/05/18 12:00:00 AM,23.581,0.0,,,,
14,06/05/18 01:00:00 AM,23.292,0.0,,,,
15,06/05/18 02:00:00 AM,23.004,0.0,,,,
16,06/05/18 03:00:00 AM,22.717,0.0,,,,
17,06/05/18 04:00:00 AM,22.525,0.0,,,,
18,06/05/18 05:00:00 AM,22.333,0.0,,,,
19,06/05/18 06:00:00 AM,22.142,0.0,,,,
20,06/05/18 07:00:00 AM,21.855,10.8,,,,
21,06/05/18 08:00:00 AM,21.760,462.9,,,,
22,06/05/18 09:00:00 AM,22.046,5166.7,,,,
23,06/05/18 10:00:00 AM,22.142,279.9,,,,
24,06/05/18 11:00:00 AM,22.717,3616.7,,,,
25,06/05/18 12:00:00 PM,24.545,12400.1,,,,
26,06/05/18 01:00:00 PM,24.545,1162.5,,,,
27,06/05/18 02:00:00 PM,25.319,1151.7,,,,
28,06/05/18 03:00:00 PM,26.195,818.1,,,,
29,06/05/18 04:00:00 PM,26.977,710.4,,,,
30,06/05/18 05:00:00 PM,27.567,484.4,,,,
31,06/05/18 06:00:00 PM,27.665,96.9,,,,
32,06/05/18 07:00:00 PM,27.567,64.6,,,,
33,06/05/18 08:00:00 PM,27.272,290.6,,,,
34,06/05/18 09:00:00 PM,26.977,0.0,,,,
35,06/05/18 10:00:00 PM,26.683,0.0,,,,
36,06/05/18 11:00:00 PM,26.390,0.0,,,,
37,06/06/18 12:00:00 AM,26.097,0.0,,,,
38,06/06/18 01:00:00 AM,25.805,0.0,,,,
39,06/06/18 02:00:00 AM,25.708,0.0,,,,
40,06/06/18 03:00:00 AM,25.416,0.0,,,,
41,06/06/18 04:00:00 AM,25.222,0.0,,,,
42,06/06/18 05:00:00 AM,25.028,0.0,,,,
43,06/06/18 06:00:00 AM,24.835,0.0,,,,
44,06/06/18 07:00:00 AM,24.641,1216.3,,,,
45,06/06/18 08:00:00 AM,24.835,2238.9,,,,
46,06/06/18 09:00:00 AM,26.000,13777.9,,,,
47,06/06/18 10:00:00 AM,27.567,13089.0,,,,
48,06/06/18 11:00:00 AM,28.655,1237.9,,,,
49,06/06/18 12:00:00 PM,28.953,1097.9,,,,
50,06/06/18 01:00:00 PM,29.452,1087.2,,,,
51,06/06/18 02:00:00 PM,30.054,925.7,,,,
52,06/06/18 03:00:00 PM,30.558,914.9,,,,
53,06/06/18 04:00:00 PM,30.862,204.5,,,,
54,06/06/18 05:00:00 PM,31.268,484.4,,,,
55,06/06/18 06:00:00 PM,31.268,75.3,,,,
56,06/06/18 07:00:00 PM,31.064,32.3,,,,
57,06/06/18 08:00:00 PM,30.862,10.8,,,,
58,06/06/18 09:00:00 PM,30.255,0.0,,,,
59,06/06/18 10:00:00 PM,29.752,0.0,,,,
60,06/06/18 11:00:00 PM,29.252,0.0,,,,
61,06/07/18 12:00:00 AM,28.853,0.0,,,,
62,06/07/18 01:00:00 AM,28.357,0.0,,,,
63,06/07/18 02:00:00 AM,27.961,0.0,,,,
64,06/07/18 03:00:00 AM,27.567,0.0,,,,
65,06/07/18 04:00:00 AM,27.173,0.0,,,,
66,06/07/18 05:00:00 AM,26.781,0.0,,,,
67,06/07/18 06:00:00 AM,26.488,0.0,,,,
68,06/07/18 07:00:00 AM,26.292,1280.9,,,,
69,06/07/18 08:00:00 AM,26.390,3100.0,,,,
70,06/07/18 09:00:00 AM,27.075,6200.0,,,,
71,06/07/18 10:00:00 AM,27.665,4822.3,,,,
