"Plot Title: E5"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10919530, SEN S/N: 10919530)","Intensity, Lux (LGR S/N: 10919530, SEN S/N: 10919530)","Coupler Attached (LGR S/N: 10919530, SEN S/N: 10919530)","Host Connected (LGR S/N: 10919530, SEN S/N: 10919530)","Coupler Detached (LGR S/N: 10919530, SEN S/N: 10919530)","End Of File (LGR S/N: 10919530, SEN S/N: 10919530)"
1,06/04/18 12:00:00 PM,23.388,290.6,,,,
2,06/04/18 01:00:00 PM,23.581,581.3,,,,
3,06/04/18 02:00:00 PM,23.869,570.5,,,,
4,06/04/18 03:00:00 PM,24.062,409.0,,,,
5,06/04/18 04:00:00 PM,24.158,161.5,,,,
6,06/04/18 05:00:00 PM,24.448,925.7,,,,
7,06/04/18 06:00:00 PM,24.931,1216.3,,,,
8,06/04/18 07:00:00 PM,25.319,150.7,,,,
9,06/04/18 08:00:00 PM,25.319,32.3,,,,
10,06/04/18 09:00:00 PM,25.222,0.0,,,,
11,06/04/18 10:00:00 PM,24.835,0.0,,,,
12,06/04/18 11:00:00 PM,24.545,0.0,,,,
13,06/05/18 12:00:00 AM,24.158,0.0,,,,
14,06/05/18 01:00:00 AM,23.773,0.0,,,,
15,06/05/18 02:00:00 AM,23.388,0.0,,,,
16,06/05/18 03:00:00 AM,23.100,0.0,,,,
17,06/05/18 04:00:00 AM,22.908,0.0,,,,
18,06/05/18 05:00:00 AM,22.621,0.0,,,,
19,06/05/18 06:00:00 AM,22.429,0.0,,,,
20,06/05/18 07:00:00 AM,22.142,0.0,,,,
21,06/05/18 08:00:00 AM,21.951,269.1,,,,
22,06/05/18 09:00:00 AM,22.238,2411.1,,,,
23,06/05/18 10:00:00 AM,22.238,258.3,,,,
24,06/05/18 11:00:00 AM,23.004,2927.8,,,,
25,06/05/18 12:00:00 PM,25.028,7233.4,,,,
26,06/05/18 01:00:00 PM,24.641,1001.0,,,,
27,06/05/18 02:00:00 PM,25.319,1463.9,,,,
28,06/05/18 03:00:00 PM,25.902,1463.9,,,,
29,06/05/18 04:00:00 PM,26.585,1722.2,,,,
30,06/05/18 05:00:00 PM,28.456,20666.8,,,,
31,06/05/18 06:00:00 PM,28.159,635.1,,,,
32,06/05/18 07:00:00 PM,28.258,75.3,,,,
33,06/05/18 08:00:00 PM,28.159,312.2,,,,
34,06/05/18 09:00:00 PM,27.764,0.0,,,,
35,06/05/18 10:00:00 PM,27.370,0.0,,,,
36,06/05/18 11:00:00 PM,27.075,0.0,,,,
37,06/06/18 12:00:00 AM,26.781,0.0,,,,
38,06/06/18 01:00:00 AM,26.488,0.0,,,,
39,06/06/18 02:00:00 AM,26.292,0.0,,,,
40,06/06/18 03:00:00 AM,26.000,0.0,,,,
41,06/06/18 04:00:00 AM,25.708,0.0,,,,
42,06/06/18 05:00:00 AM,25.610,0.0,,,,
43,06/06/18 06:00:00 AM,25.319,0.0,,,,
44,06/06/18 07:00:00 AM,25.125,495.1,,,,
45,06/06/18 08:00:00 AM,25.319,1377.8,,,,
46,06/06/18 09:00:00 AM,26.488,3616.7,,,,
47,06/06/18 10:00:00 AM,27.961,4994.5,,,,
48,06/06/18 11:00:00 AM,28.258,592.0,,,,
49,06/06/18 12:00:00 PM,28.754,731.9,,,,
50,06/06/18 01:00:00 PM,29.352,818.1,,,,
51,06/06/18 02:00:00 PM,29.953,925.7,,,,
52,06/06/18 03:00:00 PM,30.457,1087.2,,,,
53,06/06/18 04:00:00 PM,30.760,279.9,,,,
54,06/06/18 05:00:00 PM,31.268,1550.0,,,,
55,06/06/18 06:00:00 PM,31.472,688.9,,,,
56,06/06/18 07:00:00 PM,31.574,64.6,,,,
57,06/06/18 08:00:00 PM,31.370,10.8,,,,
58,06/06/18 09:00:00 PM,30.862,0.0,,,,
59,06/06/18 10:00:00 PM,30.356,0.0,,,,
60,06/06/18 11:00:00 PM,29.853,0.0,,,,
61,06/07/18 12:00:00 AM,29.352,0.0,,,,
62,06/07/18 01:00:00 AM,28.853,0.0,,,,
63,06/07/18 02:00:00 AM,28.456,0.0,,,,
64,06/07/18 03:00:00 AM,28.060,0.0,,,,
65,06/07/18 04:00:00 AM,27.665,0.0,,,,
66,06/07/18 05:00:00 AM,27.272,0.0,,,,
67,06/07/18 06:00:00 AM,26.879,0.0,,,,
68,06/07/18 07:00:00 AM,26.683,527.4,,,,
69,06/07/18 08:00:00 AM,26.781,1259.4,,,,
70,06/07/18 09:00:00 AM,27.468,2755.6,,,,
71,06/07/18 10:00:00 AM,27.665,258.3,,,,
72,06/07/18 11:00:00 AM,27.862,376.7,,,,
73,06/07/18 12:00:00 PM,28.258,645.8,,,,
74,06/07/18 01:00:00 PM,28.655,215.3,,,,
75,06/07/18 02:00:00 PM,28.853,387.5,,,,
76,06/07/18 03:00:00 PM,28.655,118.4,,,,
77,06/07/18 04:00:00 PM,27.862,0.0,,,,
78,06/07/18 05:00:00 PM,27.173,0.0,,,,
79,06/07/18 06:00:00 PM,26.781,0.0,,,,
80,06/07/18 07:00:00 PM,26.390,0.0,,,,
81,06/07/18 08:00:00 PM,26.195,0.0,,,,
82,06/07/18 09:00:00 PM,25.902,0.0,,,,
83,06/07/18 10:00:00 PM,25.708,0.0,,,,
84,06/07/18 11:00:00 PM,25.513,0.0,,,,
85,06/08/18 12:00:00 AM,25.319,0.0,,,,
86,06/08/18 01:00:00 AM,25.222,0.0,,,,
87,06/08/18 02:00:00 AM,25.028,0.0,,,,
88,06/08/18 03:00:00 AM,24.931,0.0,,,,
89,06/08/18 04:00:00 AM,24.738,0.0,,,,
90,06/08/18 05:00:00 AM,24.545,0.0,,,,
91,06/08/18 06:00:00 AM,24.351,0.0,,,,
92,06/08/18 07:00:00 AM,24.255,0.0,,,,
93,06/08/18 08:00:00 AM,24.255,107.6,,,,
94,06/08/18 09:00:00 AM,24.351,279.9,,,,
95,06/08/18 10:00:00 AM,24.835,473.6,,,,
96,06/08/18 11:00:00 AM,25.513,645.8,,,,
97,06/08/18 12:00:00 PM,26.000,484.4,,,,
98,06/08/18 01:00:00 PM,26.585,764.2,,,,
99,06/08/18 02:00:00 PM,27.272,1097.9,,,,
100,06/08/18 03:00:00 PM,28.060,1033.3,,,,
101,06/08/18 04:00:00 PM,28.555,290.6,,,,
102,06/08/18 05:00:00 PM,28.953,581.3,,,,
103,06/08/18 06:00:00 PM,29.252,807.3,,,,
104,06/08/18 07:00:00 PM,29.352,118.4,,,,
105,06/08/18 08:00:00 PM,29.252,21.5,,,,
106,06/08/18 09:00:00 PM,29.053,0.0,,,,
107,06/08/18 10:00:00 PM,28.655,0.0,,,,
108,06/08/18 11:00:00 PM,28.060,0.0,,,,
109,06/09/18 12:00:00 AM,27.567,0.0,,,,
110,06/09/18 01:00:00 AM,27.075,0.0,,,,
111,06/09/18 02:00:00 AM,26.683,0.0,,,,
112,06/09/18 03:00:00 AM,26.195,0.0,,,,
113,06/09/18 04:00:00 AM,25.805,0.0,,,,
114,06/09/18 05:00:00 AM,25.513,0.0,,,,
115,06/09/18 06:00:00 AM,25.125,0.0,,,,
116,06/09/18 07:00:00 AM,25.028,527.4,,,,
117,06/09/18 08:00:00 AM,25.222,1636.1,,,,
118,06/09/18 09:00:00 AM,25.319,204.5,,,,
119,06/09/18 10:00:00 AM,25.805,430.6,,,,
120,06/09/18 11:00:00 AM,26.488,581.3,,,,
121,06/09/18 12:00:00 PM,27.173,667.4,,,,
122,06/09/18 01:00:00 PM,27.862,775.0,,,,
123,06/09/18 02:00:00 PM,28.555,861.1,,,,
124,06/09/18 03:00:00 PM,29.152,1119.5,,,,
125,06/09/18 04:00:00 PM,29.752,1108.7,,,,
126,06/09/18 05:00:00 PM,30.255,1463.9,,,,
127,06/09/18 06:00:00 PM,30.659,1087.2,,,,
128,06/09/18 07:00:00 PM,30.862,96.9,,,,
129,06/09/18 08:00:00 PM,30.659,21.5,,,,
130,06/09/18 08:34:12 PM,,,Logged,,,
131,06/09/18 08:34:13 PM,,,,Logged,,
132,06/09/18 08:34:18 PM,,,,Logged,,
133,06/09/18 08:34:49 PM,,,,,Logged,
134,06/09/18 09:00:00 PM,30.054,0.0,,,,
135,06/09/18 10:00:00 PM,29.352,0.0,,,,
136,06/09/18 11:00:00 PM,28.853,0.0,,,,
137,06/10/18 12:00:00 AM,28.258,0.0,,,,
138,06/10/18 01:00:00 AM,27.665,0.0,,,,
139,06/10/18 02:00:00 AM,27.272,0.0,,,,
140,06/10/18 03:00:00 AM,26.781,0.0,,,,
141,06/10/18 04:00:00 AM,26.390,0.0,,,,
142,06/10/18 05:00:00 AM,25.902,0.0,,,,
143,06/10/18 06:00:00 AM,25.513,0.0,,,,
144,06/10/18 07:00:00 AM,25.319,398.3,,,,
145,06/10/18 08:00:00 AM,25.513,1463.9,,,,
146,06/10/18 09:00:00 AM,26.781,3272.2,,,,
147,06/10/18 10:00:00 AM,26.292,430.6,,,,
148,06/10/18 11:00:00 AM,26.977,592.0,,,,
149,06/10/18 12:00:00 PM,27.665,699.7,,,,
150,06/10/18 01:00:00 PM,28.456,936.5,,,,
