"Plot Title: G1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10747643, SEN S/N: 10747643, LBL: Temperature)","Intensity, Lux (LGR S/N: 10747643, SEN S/N: 10747643, LBL: Light)","Coupler Attached (LGR S/N: 10747643, SEN S/N: 10747643)","Host Connected (LGR S/N: 10747643, SEN S/N: 10747643)","Coupler Detached (LGR S/N: 10747643, SEN S/N: 10747643)","End Of File (LGR S/N: 10747643, SEN S/N: 10747643)"
1,06/04/18 12:00:00 PM,22.908,333.7,,,,
2,06/04/18 01:00:00 PM,23.100,828.8,,,,
3,06/04/18 02:00:00 PM,23.484,710.4,,,,
4,06/04/18 03:00:00 PM,23.773,592.0,,,,
5,06/04/18 04:00:00 PM,23.869,215.3,,,,
6,06/04/18 05:00:00 PM,24.062,753.5,,,,
7,06/04/18 06:00:00 PM,24.545,150.7,,,,
8,06/04/18 07:00:00 PM,24.545,75.3,,,,
9,06/04/18 08:00:00 PM,24.448,21.5,,,,
10,06/04/18 09:00:00 PM,24.351,0.0,,,,
11,06/04/18 10:00:00 PM,24.062,0.0,,,,
12,06/04/18 11:00:00 PM,23.773,0.0,,,,
13,06/05/18 12:00:00 AM,23.484,0.0,,,,
14,06/05/18 01:00:00 AM,23.196,0.0,,,,
15,06/05/18 02:00:00 AM,22.812,0.0,,,,
16,06/05/18 03:00:00 AM,22.525,0.0,,,,
17,06/05/18 04:00:00 AM,22.333,0.0,,,,
18,06/05/18 05:00:00 AM,22.142,0.0,,,,
19,06/05/18 06:00:00 AM,21.951,0.0,,,,
20,06/05/18 07:00:00 AM,21.760,21.5,,,,
21,06/05/18 08:00:00 AM,21.569,495.1,,,,
22,06/05/18 09:00:00 AM,21.855,7577.8,,,,
23,06/05/18 10:00:00 AM,21.855,322.9,,,,
24,06/05/18 11:00:00 AM,22.621,4650.0,,,,
25,06/05/18 12:00:00 PM,24.545,20666.8,,,,
26,06/05/18 01:00:00 PM,24.255,1280.9,,,,
27,06/05/18 02:00:00 PM,24.931,1097.9,,,,
28,06/05/18 03:00:00 PM,25.513,667.4,,,,
29,06/05/18 04:00:00 PM,26.097,473.6,,,,
30,06/05/18 05:00:00 PM,26.585,333.7,,,,
31,06/05/18 06:00:00 PM,26.879,96.9,,,,
32,06/05/18 07:00:00 PM,26.879,43.1,,,,
33,06/05/18 08:00:00 PM,26.683,312.2,,,,
34,06/05/18 09:00:00 PM,26.390,0.0,,,,
35,06/05/18 10:00:00 PM,26.097,0.0,,,,
36,06/05/18 11:00:00 PM,25.902,0.0,,,,
37,06/06/18 12:00:00 AM,25.610,0.0,,,,
38,06/06/18 01:00:00 AM,25.416,0.0,,,,
39,06/06/18 02:00:00 AM,25.222,0.0,,,,
40,06/06/18 03:00:00 AM,25.028,0.0,,,,
41,06/06/18 04:00:00 AM,24.835,0.0,,,,
42,06/06/18 05:00:00 AM,24.738,0.0,,,,
43,06/06/18 06:00:00 AM,24.545,0.0,,,,
44,06/06/18 07:00:00 AM,24.351,1636.1,,,,
45,06/06/18 08:00:00 AM,24.545,2927.8,,,,
46,06/06/18 09:00:00 AM,26.000,66133.8,,,,
47,06/06/18 10:00:00 AM,26.390,2066.7,,,,
48,06/06/18 11:00:00 AM,27.075,1636.1,,,,
49,06/06/18 12:00:00 PM,27.764,1302.4,,,,
50,06/06/18 01:00:00 PM,28.456,1162.5,,,,
51,06/06/18 02:00:00 PM,29.152,861.1,,,,
52,06/06/18 03:00:00 PM,29.752,699.7,,,,
53,06/06/18 04:00:00 PM,30.255,172.2,,,,
54,06/06/18 05:00:00 PM,30.659,344.4,,,,
55,06/06/18 06:00:00 PM,30.963,86.1,,,,
56,06/06/18 07:00:00 PM,30.760,32.3,,,,
57,06/06/18 08:00:00 PM,30.558,387.5,,,,
58,06/06/18 09:00:00 PM,29.953,0.0,,,,
59,06/06/18 10:00:00 PM,29.452,0.0,,,,
60,06/06/18 11:00:00 PM,28.953,0.0,,,,
61,06/07/18 12:00:00 AM,28.555,0.0,,,,
62,06/07/18 01:00:00 AM,28.060,0.0,,,,
63,06/07/18 02:00:00 AM,27.764,0.0,,,,
64,06/07/18 03:00:00 AM,27.272,0.0,,,,
65,06/07/18 04:00:00 AM,26.879,0.0,,,,
66,06/07/18 05:00:00 AM,26.585,0.0,,,,
67,06/07/18 06:00:00 AM,26.292,10.8,,,,
68,06/07/18 07:00:00 AM,26.000,1808.3,,,,
69,06/07/18 08:00:00 AM,26.195,4822.3,,,,
70,06/07/18 09:00:00 AM,26.977,9644.5,,,,
71,06/07/18 10:00:00 AM,27.370,6200.0,,,,
72,06/07/18 11:00:00 AM,27.665,678.1,,,,
73,06/07/18 12:00:00 PM,27.961,1248.6,,,,
74,06/07/18 01:00:00 PM,28.456,301.4,,,,
75,06/07/18 02:00:00 PM,28.655,516.7,,,,
76,06/07/18 03:00:00 PM,28.456,172.2,,,,
77,06/07/18 04:00:00 PM,27.764,0.0,,,,
78,06/07/18 05:00:00 PM,27.173,0.0,,,,
79,06/07/18 06:00:00 PM,26.683,0.0,,,,
80,06/07/18 07:00:00 PM,26.390,0.0,,,,
81,06/07/18 08:00:00 PM,26.097,0.0,,,,
82,06/07/18 09:00:00 PM,25.902,0.0,,,,
83,06/07/18 10:00:00 PM,25.708,0.0,,,,
84,06/07/18 11:00:00 PM,25.513,0.0,,,,
85,06/08/18 12:00:00 AM,25.319,0.0,,,,
86,06/08/18 01:00:00 AM,25.222,0.0,,,,
87,06/08/18 02:00:00 AM,25.125,0.0,,,,
88,06/08/18 03:00:00 AM,24.931,0.0,,,,
89,06/08/18 04:00:00 AM,24.738,0.0,,,,
90,06/08/18 05:00:00 AM,24.545,0.0,,,,
91,06/08/18 06:00:00 AM,24.448,0.0,,,,
92,06/08/18 07:00:00 AM,24.255,32.3,,,,
93,06/08/18 08:00:00 AM,24.255,226.0,,,,
94,06/08/18 09:00:00 AM,24.351,1087.2,,,,
95,06/08/18 10:00:00 AM,24.931,2755.6,,,,
96,06/08/18 11:00:00 AM,25.610,1463.9,,,,
97,06/08/18 12:00:00 PM,26.097,925.7,,,,
98,06/08/18 01:00:00 PM,26.585,990.3,,,,
99,06/08/18 02:00:00 PM,27.272,925.7,,,,
100,06/08/18 03:00:00 PM,27.961,667.4,,,,
101,06/08/18 04:00:00 PM,28.456,247.6,,,,
102,06/08/18 05:00:00 PM,28.754,226.0,,,,
103,06/08/18 06:00:00 PM,28.953,269.1,,,,
104,06/08/18 07:00:00 PM,28.953,53.8,,,,
105,06/08/18 08:00:00 PM,28.853,10.8,,,,
106,06/08/18 09:00:00 PM,28.555,0.0,,,,
107,06/08/18 10:00:00 PM,28.258,0.0,,,,
108,06/08/18 11:00:00 PM,27.665,0.0,,,,
109,06/09/18 12:00:00 AM,27.173,0.0,,,,
110,06/09/18 01:00:00 AM,26.683,0.0,,,,
111,06/09/18 02:00:00 AM,26.292,0.0,,,,
112,06/09/18 03:00:00 AM,25.805,0.0,,,,
113,06/09/18 04:00:00 AM,25.513,0.0,,,,
114,06/09/18 05:00:00 AM,25.125,0.0,,,,
115,06/09/18 06:00:00 AM,24.835,0.0,,,,
116,06/09/18 07:00:00 AM,24.738,1463.9,,,,
117,06/09/18 08:00:00 AM,25.319,10333.4,,,,
118,06/09/18 09:00:00 AM,25.416,1324.0,,,,
119,06/09/18 10:00:00 AM,26.000,1722.2,,,,
120,06/09/18 11:00:00 AM,26.683,1377.8,,,,
121,06/09/18 12:00:00 PM,27.370,1302.4,,,,
122,06/09/18 01:00:00 PM,28.060,1022.6,,,,
123,06/09/18 02:00:00 PM,28.754,635.1,,,,
124,06/09/18 03:00:00 PM,29.352,581.3,,,,
125,06/09/18 04:00:00 PM,29.853,409.0,,,,
126,06/09/18 05:00:00 PM,30.356,301.4,,,,
127,06/09/18 06:00:00 PM,30.457,64.6,,,,
128,06/09/18 07:00:00 PM,30.255,21.5,,,,
129,06/09/18 08:00:00 PM,29.953,366.0,,,,
130,06/09/18 08:35:02 PM,,,Logged,,,
131,06/09/18 08:35:07 PM,,,,Logged,,
132,06/09/18 08:35:48 PM,,,,,Logged,
133,06/09/18 09:00:00 PM,29.352,0.0,,,,
134,06/09/18 10:00:00 PM,28.655,0.0,,,,
135,06/09/18 11:00:00 PM,28.159,0.0,,,,
136,06/10/18 12:00:00 AM,27.665,0.0,,,,
137,06/10/18 01:00:00 AM,27.075,0.0,,,,
138,06/10/18 02:00:00 AM,26.683,0.0,,,,
139,06/10/18 03:00:00 AM,26.292,0.0,,,,
140,06/10/18 04:00:00 AM,25.902,0.0,,,,
141,06/10/18 05:00:00 AM,25.513,0.0,,,,
142,06/10/18 06:00:00 AM,25.125,0.0,,,,
143,06/10/18 07:00:00 AM,24.931,516.7,,,,
144,06/10/18 08:00:00 AM,25.416,2152.8,,,,
145,06/10/18 09:00:00 AM,26.488,3272.2,,,,
146,06/10/18 10:00:00 AM,26.488,355.2,,,,
147,06/10/18 11:00:00 AM,27.075,473.6,,,,
148,06/10/18 12:00:00 PM,27.665,516.7,,,,
149,06/10/18 01:00:00 PM,28.357,925.7,,,,
150,06/10/18 02:00:00 PM,28.953,936.5,,,,
151,06/10/18 03:00:00 PM,29.352,979.5,,,,
152,06/10/18 04:00:00 PM,29.853,635.1,,,,
153,06/10/18 05:00:00 PM,30.054,226.0,,,,
154,06/10/18 06:00:00 PM,30.255,139.9,,,,
155,06/10/18 07:00:00 PM,30.054,1108.7,,,,
156,06/10/18 08:00:00 PM,29.752,441.3,,,,
157,06/10/18 09:00:00 PM,29.352,0.0,,,,
158,06/10/18 10:00:00 PM,28.853,0.0,,,,
159,06/10/18 11:00:00 PM,28.456,0.0,,,,
160,06/11/18 12:00:00 AM,27.961,0.0,,,,
161,06/11/18 01:00:00 AM,27.567,0.0,,,,
162,06/11/18 02:00:00 AM,27.173,0.0,,,,
163,06/11/18 03:00:00 AM,26.879,0.0,,,,
164,06/11/18 04:00:00 AM,26.488,0.0,,,,
165,06/11/18 05:00:00 AM,26.292,0.0,,,,
166,06/11/18 06:00:00 AM,26.000,0.0,,,,
167,06/11/18 07:00:00 AM,25.708,409.0,,,,
168,06/11/18 08:00:00 AM,25.805,1044.1,,,,
169,06/11/18 09:00:00 AM,26.585,3616.7,,,,
170,06/11/18 10:00:00 AM,26.683,204.5,,,,
171,06/11/18 11:00:00 AM,26.879,290.6,,,,
172,06/11/18 12:00:00 PM,27.173,258.3,,,,
173,06/11/18 01:00:00 PM,27.665,516.7,,,,
174,06/11/18 02:00:00 PM,28.258,1377.8,,,,
175,06/11/18 03:00:00 PM,28.853,1313.2,,,,
176,06/11/18 04:00:00 PM,29.352,947.2,,,,
177,06/11/18 05:00:00 PM,29.752,785.8,,,,
178,06/11/18 06:00:00 PM,29.953,118.4,,,,
179,06/11/18 07:00:00 PM,29.853,43.1,,,,
180,06/11/18 08:00:00 PM,29.752,409.0,,,,
181,06/11/18 09:00:00 PM,29.352,0.0,,,,
182,06/11/18 10:00:00 PM,28.853,0.0,,,,
183,06/11/18 11:00:00 PM,28.456,0.0,,,,
184,06/12/18 12:00:00 AM,28.060,0.0,,,,
185,06/12/18 01:00:00 AM,27.665,0.0,,,,
186,06/12/18 02:00:00 AM,27.272,0.0,,,,
187,06/12/18 03:00:00 AM,26.977,0.0,,,,
188,06/12/18 04:00:00 AM,26.683,0.0,,,,
189,06/12/18 05:00:00 AM,26.292,0.0,,,,
190,06/12/18 06:00:00 AM,26.000,0.0,,,,
191,06/12/18 07:00:00 AM,25.708,290.6,,,,
192,06/12/18 08:00:00 AM,25.805,1334.7,,,,
193,06/12/18 09:00:00 AM,25.902,150.7,,,,
194,06/12/18 10:00:00 AM,26.097,290.6,,,,
195,06/12/18 11:00:00 AM,26.488,333.7,,,,
196,06/12/18 12:00:00 PM,27.173,204.5,,,,
197,06/12/18 01:00:00 PM,27.173,172.2,,,,
198,06/12/18 02:00:00 PM,27.468,592.0,,,,
199,06/12/18 03:00:00 PM,27.665,430.6,,,,
200,06/12/18 04:00:00 PM,27.862,430.6,,,,
201,06/12/18 05:00:00 PM,28.258,1044.1,,,,
202,06/12/18 06:00:00 PM,28.555,279.9,,,,
203,06/12/18 07:00:00 PM,28.555,75.3,,,,
204,06/12/18 08:00:00 PM,28.456,516.7,,,,
205,06/12/18 09:00:00 PM,28.159,0.0,,,,
206,06/12/18 10:00:00 PM,27.862,0.0,,,,
207,06/12/18 11:00:00 PM,27.567,0.0,,,,
208,06/13/18 12:00:00 AM,27.272,0.0,,,,
209,06/13/18 01:00:00 AM,26.977,0.0,,,,
210,06/13/18 02:00:00 AM,26.683,0.0,,,,
211,06/13/18 03:00:00 AM,26.488,0.0,,,,
212,06/13/18 04:00:00 AM,26.195,0.0,,,,
213,06/13/18 05:00:00 AM,26.000,0.0,,,,
214,06/13/18 06:00:00 AM,25.708,0.0,,,,
215,06/13/18 07:00:00 AM,25.610,473.6,,,,
216,06/13/18 08:00:00 AM,25.610,107.6,,,,
217,06/13/18 09:00:00 AM,25.708,204.5,,,,
218,06/13/18 10:00:00 AM,26.097,376.7,,,,
219,06/13/18 11:00:00 AM,26.585,430.6,,,,
220,06/13/18 12:00:00 PM,27.173,441.3,,,,
221,06/13/18 01:00:00 PM,27.764,688.9,,,,
222,06/13/18 02:00:00 PM,28.456,775.0,,,,
223,06/13/18 03:00:00 PM,29.252,990.3,,,,
224,06/13/18 04:00:00 PM,29.752,1377.8,,,,
225,06/13/18 05:00:00 PM,30.255,2669.5,,,,
226,06/13/18 06:00:00 PM,30.558,150.7,,,,
227,06/13/18 07:00:00 PM,30.356,53.8,,,,
228,06/13/18 08:00:00 PM,30.054,366.0,,,,
229,06/13/18 09:00:00 PM,29.552,0.0,,,,
230,06/13/18 10:00:00 PM,29.053,0.0,,,,
231,06/13/18 11:00:00 PM,28.555,0.0,,,,
232,06/14/18 12:00:00 AM,28.060,0.0,,,,
233,06/14/18 01:00:00 AM,27.665,0.0,,,,
234,06/14/18 02:00:00 AM,27.272,0.0,,,,
235,06/14/18 03:00:00 AM,26.879,0.0,,,,
236,06/14/18 04:00:00 AM,26.488,0.0,,,,
237,06/14/18 05:00:00 AM,26.195,0.0,,,,
238,06/14/18 06:00:00 AM,25.805,0.0,,,,
239,06/14/18 07:00:00 AM,25.610,516.7,,,,
240,06/14/18 08:00:00 AM,26.097,2152.8,,,,
241,06/14/18 09:00:00 AM,26.390,183.0,,,,
242,06/14/18 10:00:00 AM,26.977,301.4,,,,
243,06/14/18 11:00:00 AM,27.567,430.6,,,,
244,06/14/18 12:00:00 PM,28.258,495.1,,,,
245,06/14/18 01:00:00 PM,28.853,688.9,,,,
246,06/14/18 02:00:00 PM,29.752,775.0,,,,
247,06/14/18 03:00:00 PM,30.356,1130.2,,,,
