"Plot Title: F4"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10919527, SEN S/N: 10919527)","Intensity, Lux (LGR S/N: 10919527, SEN S/N: 10919527)","Coupler Attached (LGR S/N: 10919527, SEN S/N: 10919527)","Host Connected (LGR S/N: 10919527, SEN S/N: 10919527)","Coupler Detached (LGR S/N: 10919527, SEN S/N: 10919527)","Stopped (LGR S/N: 10919527, SEN S/N: 10919527)","End Of File (LGR S/N: 10919527, SEN S/N: 10919527)"
1,06/04/18 12:00:00 PM,23.581,290.6,,,,,
2,06/04/18 01:00:00 PM,23.773,688.9,,,,,
3,06/04/18 02:00:00 PM,24.158,559.7,,,,,
4,06/04/18 03:00:00 PM,24.448,441.3,,,,,
5,06/04/18 04:00:00 PM,24.545,172.2,,,,,
6,06/04/18 05:00:00 PM,24.738,635.1,,,,,
7,06/04/18 06:00:00 PM,25.319,355.2,,,,,
8,06/04/18 07:00:00 PM,25.610,75.3,,,,,
9,06/04/18 08:00:00 PM,25.513,21.5,,,,,
10,06/04/18 09:00:00 PM,25.319,0.0,,,,,
11,06/04/18 10:00:00 PM,24.931,0.0,,,,,
12,06/04/18 11:00:00 PM,24.641,0.0,,,,,
13,06/05/18 12:00:00 AM,24.255,0.0,,,,,
14,06/05/18 01:00:00 AM,23.966,0.0,,,,,
15,06/05/18 02:00:00 AM,23.581,0.0,,,,,
16,06/05/18 03:00:00 AM,23.292,0.0,,,,,
17,06/05/18 04:00:00 AM,23.004,0.0,,,,,
18,06/05/18 05:00:00 AM,22.812,0.0,,,,,
19,06/05/18 06:00:00 AM,22.621,0.0,,,,,
20,06/05/18 07:00:00 AM,22.333,10.8,,,,,
21,06/05/18 08:00:00 AM,22.046,398.3,,,,,
22,06/05/18 09:00:00 AM,22.429,7577.8,,,,,
23,06/05/18 10:00:00 AM,22.333,322.9,,,,,
24,06/05/18 11:00:00 AM,23.100,4650.0,,,,,
25,06/05/18 12:00:00 PM,25.125,18600.1,,,,,
26,06/05/18 01:00:00 PM,24.835,1550.0,,,,,
27,06/05/18 02:00:00 PM,25.805,1227.1,,,,,
28,06/05/18 03:00:00 PM,26.683,828.8,,,,,
29,06/05/18 04:00:00 PM,27.567,688.9,,,,,
30,06/05/18 05:00:00 PM,28.258,505.9,,,,,
31,06/05/18 06:00:00 PM,28.853,301.4,,,,,
32,06/05/18 07:00:00 PM,28.953,64.6,,,,,
33,06/05/18 08:00:00 PM,28.655,312.2,,,,,
34,06/05/18 09:00:00 PM,28.258,0.0,,,,,
35,06/05/18 10:00:00 PM,27.862,0.0,,,,,
36,06/05/18 11:00:00 PM,27.468,0.0,,,,,
37,06/06/18 12:00:00 AM,27.173,0.0,,,,,
38,06/06/18 01:00:00 AM,26.781,0.0,,,,,
39,06/06/18 02:00:00 AM,26.585,0.0,,,,,
40,06/06/18 03:00:00 AM,26.292,0.0,,,,,
41,06/06/18 04:00:00 AM,26.000,0.0,,,,,
42,06/06/18 05:00:00 AM,25.805,0.0,,,,,
43,06/06/18 06:00:00 AM,25.513,0.0,,,,,
44,06/06/18 07:00:00 AM,25.319,1194.8,,,,,
45,06/06/18 08:00:00 AM,25.513,2325.0,,,,,
46,06/06/18 09:00:00 AM,26.781,49600.3,,,,,
47,06/06/18 10:00:00 AM,26.977,1894.5,,,,,
48,06/06/18 11:00:00 AM,27.567,1722.2,,,,,
49,06/06/18 12:00:00 PM,28.159,1270.1,,,,,
50,06/06/18 01:00:00 PM,28.853,1119.5,,,,,
51,06/06/18 02:00:00 PM,29.652,914.9,,,,,
52,06/06/18 03:00:00 PM,30.255,882.6,,,,,
53,06/06/18 04:00:00 PM,30.659,183.0,,,,,
54,06/06/18 05:00:00 PM,31.166,473.6,,,,,
55,06/06/18 06:00:00 PM,31.472,247.6,,,,,
56,06/06/18 07:00:00 PM,31.472,43.1,,,,,
